# frequency_cm-1 intensity
   61.896671 5.974880860134e-03
   62.871228 6.587234166435e-03
   63.845785 7.179782467708e-03
   64.820342 7.735816966301e-03
   65.794898 8.238960776391e-03
   66.769455 8.673993297736e-03
   67.744012 9.027683807322e-03
   68.718568 9.289565143317e-03
   69.693125 9.452583223183e-03
   70.667682 9.513569457359e-03
   71.642238 9.473499804574e-03
   72.616795 9.337524389915e-03
   73.591352 9.114772872130e-03
   74.565908 8.817960534199e-03
   75.540465 8.462836034745e-03
   76.515022 8.067522127122e-03
   77.489578 7.651804489694e-03
   78.464135 7.236421123902e-03
   79.438692 6.842396480018e-03
   80.413248 6.490452196310e-03
   81.387805 6.200512143678e-03
   82.362362 5.991305494989e-03
   83.336919 5.880059674955e-03
   84.311475 5.882266661004e-03
   85.286032 6.011501881836e-03
   86.260589 6.279274855934e-03
   87.235145 6.694894038843e-03
   88.209702 7.265333949401e-03
   89.184259 7.995099140188e-03
   90.158815 8.886085624618e-03
   91.133372 9.937444913870e-03
   92.107929 1.114545826103e-02
   93.082485 1.250342903262e-02
   94.057042 1.400159986086e-02
   95.031599 1.562709934511e-02
   96.006155 1.736392176262e-02
   96.980712 1.919294365596e-02
   97.955269 2.109198406007e-02
   98.929825 2.303592065526e-02
   99.904382 2.499688160541e-02
  100.878939 2.694454074324e-02
  101.853496 2.884654988273e-02
  102.828052 3.066914381204e-02
  103.802609 3.237794853066e-02
  104.777166 3.393900984494e-02
  105.751722 3.532003709025e-02
  106.726279 3.649182672771e-02
  107.700836 3.742979588502e-02
  108.675392 3.811552118441e-02
  109.649949 3.853814909023e-02
  110.624506 3.869552638458e-02
  111.599062 3.859489831963e-02
  112.573619 3.825304076364e-02
  113.548176 3.769573190134e-02
  114.522732 3.695652633477e-02
  115.497289 3.607486428682e-02
  116.471846 3.509362307004e-02
  117.446402 3.405628760438e-02
  118.420959 3.300397195472e-02
  119.395516 3.197255630659e-02
  120.370073 3.099020780193e-02
  121.344629 3.007552708359e-02
  122.319186 2.923650714323e-02
  123.293743 2.847041292528e-02
  124.268299 2.776459807799e-02
  125.242856 2.709818022145e-02
  126.217413 2.644440957785e-02
  127.191969 2.577349818303e-02
  128.166526 2.505563611536e-02
  129.141083 2.426391169528e-02
  130.115639 2.337687487119e-02
  131.090196 2.238053348735e-02
  132.064753 2.126964392117e-02
  133.039309 2.004824141605e-02
  134.013866 1.872944099545e-02
  134.988423 1.733461708907e-02
  135.962979 1.589213041931e-02
  136.937536 1.443580820683e-02
  137.912093 1.300339524011e-02
  138.886650 1.163517873442e-02
  139.861206 1.037295182887e-02
  140.835763 9.259423827047e-03
  141.810320 8.338116072635e-03
  142.784876 7.653707546587e-03
  143.759433 7.252720832625e-03
  144.733990 7.184373640874e-03
  145.708546 7.501369652427e-03
  146.683103 8.260370421976e-03
  147.657660 9.521882060934e-03
  148.632216 1.134931008714e-02
  149.606773 1.380698553126e-02
  150.581330 1.695704561601e-02
  151.555886 2.085516094646e-02
  152.530443 2.554523269652e-02
  153.505000 3.105332840966e-02
  154.479556 3.738127047332e-02
  155.454113 4.450042047619e-02
  156.428670 5.234629700417e-02
  157.403227 6.081470575298e-02
  158.377783 6.976003397226e-02
  159.352340 7.899625706743e-02
  160.326897 8.830102317742e-02
  161.301453 9.742293159357e-02
  162.276010 1.060918235548e-01
  163.250567 1.140315891115e-01
  164.225123 1.209746974339e-01
  165.199680 1.266774177910e-01
  166.174237 1.309345483464e-01
  167.148793 1.335924347379e-01
  168.123350 1.345591515908e-01
  169.097907 1.338109332311e-01
  170.072463 1.313942544530e-01
  171.047020 1.274233441527e-01
  172.021577 1.220733207580e-01
  172.996133 1.155695224144e-01
  173.970690 1.081739240490e-01
